issue_id,issue,affected_records,affected_percent,finding,status
Q001,Non-property placeholder row,1.0,0.0025180671316697304,"One project_recommendation row has no listing ID, URL, property type, price, area, or location.",Decision required
Q002,Potential reposted/duplicate listings,3918.0,9.865787021882005,Conservative exact core-signature scan found repeated listing-like records; requires rule approval before removal.,Pending
Q003,Duplicate reference values,126.0,0.31727645859038606,"59 reference values occur across 126 rows, but many are generic and not true duplicates.",Pending
Q004,Mixed bedroom categories,1344.0,3.384282224964118,"Includes studio, 7+, and missing values.",Pending
Q005,Mixed bathroom categories,298.0,0.7503840052375796,"Includes none, 7+, and missing values.",Pending
Q006,Missing completion status,19950.0,50.23543927681112,Missingness is substantial and likely systematic by sale/rent or listing type.,Pending
Q007,Missing payment method,19774.0,49.792259461637244,About half the records are missing payment method.,Pending
Q008,Missing furnished status,8385.0,21.113992899050686,Missingness may encode unknown/not provided.,Pending
Q009,Extreme price and area values,,,"Price ranges EGP 1,300–1,000,000,000; area ranges 1–96,600 sqm. Validity needs grouped review.",Pending
Q010,Constant or unusable columns,8.0,,"price_currency, area_unit, is_verified, is_new_construction, is_direct_from_dev, is_exclusive, rera, agent_is_super",Pending
