town,sample_size,mae_egp,median_ae_egp,mape
New Cairo City,525,5138109.281587047,3236835.745101965,0.2952085351814785
6 October City,507,3884583.712496879,2153180.5419206936,0.3474632555805336
Sheikh Zayed City,358,4030060.626326093,2015239.4557093908,0.31986120599187745
Sidi Abdel Rahman,263,20010954.077695135,10976034.04512868,0.4556914096881066
Madinaty,257,7995157.580519074,2700798.621685934,0.33542705684225876
Mostakbal City - Future City,199,1166486.6926167859,812844.3551418269,0.43308985822472434
Ras Al Hekma,90,2946827.593524998,1929989.4069359968,0.29954370375743355
Al Ain Al Sokhna,77,2389878.2938434826,1924042.4237063155,0.5925828157753639
New Capital City,75,1822222.889917186,1170615.6328368848,0.20993919559208213
Al Alamein,68,1112339.9851345625,980803.354201152,0.4215506910095382
Mokattam,64,11023711.023535635,5224084.241096038,0.28561079497082026
Hurghada,63,2299465.930697866,642052.3942177799,0.1524197673928305
Alexandria Compounds,54,2522932.7051336477,1552211.9051419199,0.21871644810558824
Hay El Maadi,28,4006334.6850295747,2808919.529911181,0.379879645784815
Hay Sharq,26,1264565.0386112318,984270.2090266505,0.16422984687275408
Heliopolis - Masr El Gedida,14,1185877.7436971478,487802.68106976943,0.1817544547250977
Nasr City,11,1095870.016716888,900809.832735274,0.16781733016677486
Mohandessin,10,773268.9265544529,580153.5973881809,0.1823408401973699
El Khalifa,10,19519697.505293496,13341384.682407793,0.5027872569869513
Zamalek,9,6543851.27804234,3243143.241789167,0.36972732146721804
New Obour City,6,753237.0994635267,863005.8372844015,0.33191822154341016
Shorouk City,5,1863906.0643734224,1172943.773339976,0.5939750525393555
Hay Wasat,4,1935499.2930491576,1419740.7803289557,0.5794830482228166
Al Agouza,3,713089.4583306926,378383.31153225433,0.19298285672317528
Hay Awal El Montazah,3,1679764.7945993727,1911476.195955243,0.5904592036066902
Hay El Haram,3,889981.7950158386,779045.5613543307,0.3709793797834576
Hay Masr El Kadima,2,9921159.009986803,9921159.009986803,0.7086542149990573
Dokki,1,412110.76577689126,412110.76577689126,0.041211076577689125
Hay Than El Montazah,1,208613.27776175365,208613.27776175365,0.044863070486398635
Qesm Marsa Matrouh,1,81146044.61507282,81146044.61507282,0.6010818119635023
North Coast Resorts,1,3294528.173658724,3294528.173658724,2.0973568714404913
Obour City,1,2188127.713119438,2188127.713119438,0.3366350327876058
