feature,value,shap_log_price,abs_shap
property_type,Apartment,-0.17037690779218337,0.17037690779218337
submarket_or_compound,Mountain View iCity October,-0.1313883365531799,0.1313883365531799
payment_method,installments,0.10886033613262439,0.10886033613262439
furnished,Unknown,-0.10649515842566842,0.10649515842566842
bathrooms_num,2.0,-0.10602429596772357,0.10602429596772357
completion_status,completed,0.10462753108869617,0.10462753108869617
area_sqm,150.0,-0.060793294071927365,0.060793294071927365
listing_age_days,27.9864329703588,-0.05739899356962095,0.05739899356962095
bedrooms_per_100_sqm,2.0,-0.05123993767530897,0.05123993767530897
lat,30.00507354736328,0.047956714730402195,0.047956714730402195
lon,30.929044723510746,-0.045629425466077254,0.045629425466077254
amenities_count,18,0.045247521987581966,0.045247521987581966
listing_level,premium,-0.03582632284951307,0.03582632284951307
compound_status,Named submarket/compound,-0.0299822620329956,0.0299822620329956
market_region,Giza,-0.02218976002597633,0.02218976002597633
district,6 October Compounds,0.014489410903026132,0.014489410903026132
is_premium,1,-0.010143032784542174,0.010143032784542174
town,6 October City,-0.00969602676205718,0.00969602676205718
images_count,9,-0.004604365360740951,0.004604365360740951
bathrooms_per_100_sqm,1.3333333333333335,0.002863655259299811,0.002863655259299811
new_city_indicator,New city,-0.0016999416115230054,0.0016999416115230054
is_featured,0,0.00041677066982092194,0.00041677066982092194
bedrooms_num,3.0,-0.00021024263166732874,0.00021024263166732874
has_view_360,0,0.0,0.0
