feature,importance
area_sqm,21.531228466458614
completion_status,12.90799885086366
property_type,10.620477378272076
payment_method,6.945715174535261
lon,6.854672780028912
lat,4.915859477508642
bathrooms_num,4.758681121904311
district,4.09545136827674
furnished,3.8788054131278367
submarket_or_compound,3.7152699341218205
town,3.5113620391389118
bedrooms_per_100_sqm,3.3581241537670947
amenities_count,2.9636162429518387
compound_status,2.7027659356070837
listing_age_days,1.8276335225818345
market_region,1.7512333067187986
bathrooms_per_100_sqm,1.027666660294759
listing_level,0.8912761429002486
bedrooms_num,0.5547119075306757
images_count,0.5042863930378791
new_city_indicator,0.3755228826474232
is_premium,0.29993594104102655
is_featured,0.007704906684529745
has_view_360,0.0
